full_description,category,different_to_prev_row,prev_row,Chapter,Heading,HS Code,Export Statistical Item
"Asses | LIVE ANIMALS | LIVE HORSES, ASSES, MULES AND HINNIES",Agri-business & Food,FALSE,Agri-business & Food,1,101,10130,01013000(a)
Beef | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10200,01022114(a)
Cattle | LIVE ANIMALS | LIVE BOVINE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10220,1022000
"Horses | LIVE ANIMALS | LIVE HORSES, ASSES, MULES AND HINNIES",Agri-business & Food,FALSE,Agri-business & Food,1,101,10120,1012000
LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,100,10000,1000000
LIVE BOVINE ANIMALS | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10200,1020000
"LIVE HORSES, ASSES, MULES AND HINNIES | LIVE ANIMALS",Agri-business & Food,FALSE,Agri-business & Food,1,101,10100,1010000
"Other | LIVE ANIMALS | LIVE HORSES, ASSES, MULES AND HINNIES",Agri-business & Food,FALSE,Agri-business & Food,1,101,10129,01012900(a)(b)
Pure-bred breeding animals | LIVE ANIMALS | LIVE BOVINE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10221,1022100
"Pure-bred breeding animals | LIVE ANIMALS | LIVE HORSES, ASSES, MULES AND HINNIES",Agri-business & Food,FALSE,Agri-business & Food,1,101,10121,01012100(a)(b)
Buffalo | LIVE ANIMALS | LIVE BOVINE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10230,1023000
Dairy | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10200,01022117(a)
LIVE SHEEP AND GOATS | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,104,10400,1040000
LIVE SWINE | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,103,10300,1030000
Other | LIVE ANIMALS | LIVE BOVINE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,102,10229,1022900
Other | LIVE ANIMALS | LIVE SWINE,Agri-business & Food,FALSE,Agri-business & Food,1,103,10390,1039000
Pure-bred breeding animals | LIVE ANIMALS | LIVE SWINE,Agri-business & Food,FALSE,Agri-business & Food,1,103,10310,01031000(a)
Sheep | LIVE ANIMALS | LIVE SHEEP AND GOATS,Agri-business & Food,FALSE,Agri-business & Food,1,104,10410,01041013(a)
Weighing 50 kg or more | LIVE ANIMALS | LIVE SWINE,Agri-business & Food,FALSE,Agri-business & Food,1,103,10392,01039200(a)
Weighing less than 50 kg | LIVE ANIMALS | LIVE SWINE,Agri-business & Food,FALSE,Agri-business & Food,1,103,10391,01039100(a)
"Ducks | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10513,01051300(a)
"Fowls of the species Gallus domesticus | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10511,01051100(a)
"Geese | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10514,01051400(a)
Goats | LIVE ANIMALS | LIVE SHEEP AND GOATS,Agri-business & Food,FALSE,Agri-business & Food,1,104,10420,01042000(a)
"Guinea fowls | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10515,01051500(a)
"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS | LIVE ANIMALS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10500,1050000
OTHER LIVE ANIMALS | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10600,1060000
"Other | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10590,1059000
"Turkeys | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10512,01051200(a)
"Weighing not more than 185 g | LIVE ANIMALS | LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS",Agri-business & Food,FALSE,Agri-business & Food,1,105,10510,1051000
Australian endemic mammals | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10600,01061943(a)(c)
Australian endemic reptiles | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10600,01062050(a)(c)
Camels and other camelids (Camelidae) | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10613,01061300(a)
Mammals | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10610,1061000
Other | LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10600,01061995(a)
Other | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10619,1061900
Primates | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10611,01061100(a)
Rabbits and hares | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10614,01061400(a)
Reptiles (including snakes and turtles) | LIVE ANIMALS | OTHER LIVE ANIMALS,Agri-business & Food,FALSE,Agri-business & Food,1,106,10620,1062000
"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia) | LIVE ANIMALS | OTHER LIVE ANIMALS",Agri-business & Food,FALSE,Agri-business & Food,1,106,10612,01061204(a)(c)
