"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2025","1.5439","1.5459","1.5473","1.5417","","-0.12%"
"03/08/2025","1.5457","1.5445","1.5476","1.5445","","0.11%"
"01/08/2025","1.5439","1.5561","1.5580","1.5399","","-0.80%"
"31/07/2025","1.5563","1.5544","1.5568","1.5438","","0.12%"
"30/07/2025","1.5545","1.5354","1.5563","1.5316","","1.19%"
"29/07/2025","1.5362","1.5340","1.5396","1.5312","","0.18%"
"28/07/2025","1.5335","1.5230","1.5356","1.5181","","0.77%"
"27/07/2025","1.5218","1.5212","1.5222","1.5208","","-0.07%"
"25/07/2025","1.5229","1.5174","1.5265","1.5153","","0.36%"
"24/07/2025","1.5175","1.5153","1.5185","1.5093","","0.18%"
"23/07/2025","1.5148","1.5258","1.5277","1.5143","","-0.71%"
"22/07/2025","1.5257","1.5319","1.5377","1.5246","","-0.45%"
"21/07/2025","1.5326","1.5333","1.5391","1.5295","","-0.23%"
"18/07/2025","1.5361","1.5412","1.5426","1.5286","","-0.33%"
"17/07/2025","1.5412","1.5315","1.5495","1.5305","","0.61%"
"16/07/2025","1.5318","1.5354","1.5398","1.5256","","-0.21%"
"15/07/2025","1.5350","1.5266","1.5368","1.5204","","0.46%"
"14/07/2025","1.5279","1.5213","1.5286","1.5178","","0.53%"
"11/07/2025","1.5198","1.5181","1.5255","1.5160","","0.12%"
"10/07/2025","1.5180","1.5307","1.5313","1.5170","","-0.79%"
"09/07/2025","1.5301","1.5313","1.5364","1.5269","","-0.08%"
"08/07/2025","1.5313","1.5404","1.5408","1.5248","","-0.60%"
"07/07/2025","1.5406","1.5255","1.5421","1.5231","","0.96%"
"04/07/2025","1.5260","1.5214","1.5279","1.5197","","0.28%"
"03/07/2025","1.5217","1.5192","1.5299","1.5178","","0.18%"
"02/07/2025","1.5189","1.5191","1.5284","1.5176","","-0.01%"
"01/07/2025","1.5191","1.5204","1.5261","1.5172","","-0.03%"
"30/06/2025","1.5196","1.5322","1.5334","1.5190","","-0.76%"
"27/06/2025","1.5313","1.5278","1.5366","1.5239","","0.24%"
"26/06/2025","1.5276","1.5359","1.5374","1.5233","","-0.51%"
"25/06/2025","1.5354","1.5413","1.5423","1.5347","","-0.37%"
"24/06/2025","1.5411","1.5482","1.5491","1.5337","","-0.45%"
"23/06/2025","1.5481","1.5534","1.5695","1.5469","","-0.14%"
"20/06/2025","1.5503","1.5427","1.5509","1.5393","","0.48%"
"19/06/2025","1.5429","1.5364","1.5516","1.5354","","0.41%"
"18/06/2025","1.5366","1.5444","1.5462","1.5296","","-0.51%"
"17/06/2025","1.5444","1.5328","1.5467","1.5279","","0.75%"
"16/06/2025","1.5329","1.5405","1.5465","1.5261","","-0.54%"
"13/06/2025","1.5413","1.5307","1.5491","1.5303","","0.70%"
"12/06/2025","1.5306","1.5368","1.5441","1.5303","","-0.50%"
"11/06/2025","1.5383","1.5331","1.5397","1.5275","","0.33%"
"10/06/2025","1.5333","1.5345","1.5410","1.5303","","-0.08%"
"09/06/2025","1.5345","1.5404","1.5412","1.5303","","-0.37%"
"06/06/2025","1.5402","1.5359","1.5436","1.5342","","0.20%"
"05/06/2025","1.5371","1.5404","1.5422","1.5293","","-0.21%"
"04/06/2025","1.5404","1.5475","1.5505","1.5371","","-0.46%"
"03/06/2025","1.5475","1.5397","1.5513","1.5383","","0.53%"
"02/06/2025","1.5394","1.5542","1.5560","1.5381","","-1.00%"
"30/05/2025","1.5549","1.5528","1.5609","1.5496","","0.16%"
"29/05/2025","1.5524","1.5560","1.5609","1.5478","","-0.23%"
"28/05/2025","1.5560","1.5521","1.5602","1.5492","","0.26%"
"27/05/2025","1.5519","1.5421","1.5543","1.5393","","0.65%"
"26/05/2025","1.5419","1.5407","1.5427","1.5295","","0.14%"
"23/05/2025","1.5398","1.5599","1.5606","1.5383","","-1.29%"
"22/05/2025","1.5600","1.5538","1.5609","1.5481","","0.42%"
"21/05/2025","1.5535","1.5572","1.5583","1.5455","","-0.20%"
"20/05/2025","1.5566","1.5486","1.5647","1.5481","","0.51%"
"19/05/2025","1.5487","1.5596","1.5636","1.5465","","-0.84%"
"16/05/2025","1.5618","1.5611","1.5657","1.5534","","0.06%"
"15/05/2025","1.5608","1.5557","1.5650","1.5484","","0.33%"
"14/05/2025","1.5556","1.5455","1.5572","1.5379","","0.66%"
"13/05/2025","1.5454","1.5699","1.5722","1.5434","","-1.53%"
"12/05/2025","1.5694","1.5585","1.5734","1.5475","","0.63%"
"09/05/2025","1.5596","1.5625","1.5698","1.5543","","-0.19%"
"08/05/2025","1.5625","1.5566","1.5639","1.5467","","0.39%"
"07/05/2025","1.5564","1.5395","1.5575","1.5348","","1.08%"
"06/05/2025","1.5397","1.5460","1.5534","1.5379","","-0.40%"
"05/05/2025","1.5459","1.5474","1.5543","1.5398","","-0.38%"
"02/05/2025","1.5518","1.5670","1.5678","1.5454","","-0.94%"
"01/05/2025","1.5665","1.5627","1.5711","1.5557","","0.29%"
"30/04/2025","1.5619","1.5665","1.5735","1.5579","","-0.29%"
"29/04/2025","1.5665","1.5551","1.5685","1.5503","","0.76%"
"28/04/2025","1.5547","1.5667","1.5706","1.5539","","-0.56%"
"25/04/2025","1.5635","1.5600","1.5691","1.5574","","0.22%"
"24/04/2025","1.5600","1.5722","1.5766","1.5589","","-0.79%"
"23/04/2025","1.5724","1.5707","1.5751","1.5539","","0.10%"
"22/04/2025","1.5709","1.5585","1.5721","1.5526","","0.82%"
"21/04/2025","1.5581","1.5688","1.5704","1.5532","","-0.64%"
"18/04/2025","1.5681","1.5657","1.5707","1.5637","","0.20%"
"17/04/2025","1.5649","1.5699","1.5791","1.5637","","-0.29%"
"16/04/2025","1.5694","1.5763","1.5818","1.5644","","-0.39%"
"15/04/2025","1.5755","1.5812","1.5835","1.5665","","-0.27%"
"14/04/2025","1.5798","1.5868","1.5937","1.5764","","-0.65%"
"11/04/2025","1.5901","1.6069","1.6180","1.5871","","-1.00%"
"10/04/2025","1.6062","1.6254","1.6352","1.5999","","-1.14%"
"09/04/2025","1.6247","1.6770","1.6911","1.6189","","-3.18%"
"08/04/2025","1.6781","1.6703","1.6820","1.6430","","0.45%"
"07/04/2025","1.6706","1.6546","1.6862","1.6336","","1.02%"
"04/04/2025","1.6537","1.5805","1.6707","1.5790","","4.68%"
"03/04/2025","1.5798","1.5876","1.6063","1.5650","","-0.42%"
"02/04/2025","1.5865","1.5932","1.5980","1.5766","","-0.37%"
"01/04/2025","1.5924","1.6009","1.6049","1.5912","","-0.49%"
"31/03/2025","1.6003","1.5896","1.6081","1.5869","","0.63%"
"28/03/2025","1.5903","1.5859","1.5925","1.5839","","0.28%"
"27/03/2025","1.5858","1.5876","1.5928","1.5824","","-0.08%"
"26/03/2025","1.5870","1.5863","1.5930","1.5794","","0.08%"
"25/03/2025","1.5858","1.5909","1.5930","1.5806","","-0.31%"
"24/03/2025","1.5908","1.5940","1.5966","1.5857","","-0.21%"
"21/03/2025","1.5941","1.5865","1.5981","1.5854","","0.51%"
"20/03/2025","1.5860","1.5730","1.5948","1.5712","","0.84%"
"19/03/2025","1.5728","1.5720","1.5822","1.5704","","0.06%"
"18/03/2025","1.5718","1.5663","1.5764","1.5644","","0.38%"
"17/03/2025","1.5659","1.5812","1.5838","1.5644","","-0.97%"
"14/03/2025","1.5813","1.5909","1.5931","1.5793","","-0.60%"
"13/03/2025","1.5908","1.5823","1.5953","1.5785","","0.59%"
"12/03/2025","1.5815","1.5877","1.5935","1.5814","","-0.37%"
"11/03/2025","1.5873","1.5928","1.5978","1.5842","","-0.33%"
"10/03/2025","1.5926","1.5853","1.5965","1.5791","","0.43%"
"07/03/2025","1.5858","1.5791","1.5920","1.5775","","0.46%"
"06/03/2025","1.5785","1.5785","1.5819","1.5712","","0.03%"
"05/03/2025","1.5780","1.5944","1.6044","1.5764","","-0.97%"
"04/03/2025","1.5934","1.6069","1.6164","1.5939","","-0.80%"
"03/03/2025","1.6062","1.6111","1.6135","1.5986","","-0.25%"
"28/02/2025","1.6103","1.6036","1.6149","1.6027","","0.47%"
"27/02/2025","1.6028","1.5857","1.6048","1.5834","","1.09%"
"26/02/2025","1.5855","1.5763","1.5885","1.5736","","0.62%"
"25/02/2025","1.5758","1.5749","1.5820","1.5728","","0.10%"
"24/02/2025","1.5743","1.5740","1.5764","1.5643","","0.14%"
"21/02/2025","1.5721","1.5627","1.5745","1.5601","","0.65%"
"20/02/2025","1.5620","1.5762","1.5806","1.5612","","-0.88%"
"19/02/2025","1.5758","1.5741","1.5784","1.5695","","0.14%"
"18/02/2025","1.5736","1.5736","1.5789","1.5703","","0.06%"
"17/02/2025","1.5726","1.5731","1.5764","1.5685","","-0.08%"
"14/02/2025","1.5738","1.5827","1.5849","1.5701","","-0.54%"
"13/02/2025","1.5823","1.5908","1.5991","1.5814","","-0.60%"
"12/02/2025","1.5918","1.5886","1.6040","1.5846","","0.20%"
"11/02/2025","1.5886","1.5930","1.5974","1.5867","","-0.25%"
"10/02/2025","1.5926","1.5947","1.6049","1.5902","","-0.11%"
"07/02/2025","1.5944","1.5924","1.5993","1.5874","","0.19%"
"06/02/2025","1.5913","1.5911","1.5990","1.5900","","0.03%"
"05/02/2025","1.5908","1.6000","1.6027","1.5878","","-0.48%"
"04/02/2025","1.5985","1.6063","1.6209","1.5966","","-0.45%"
"03/02/2025","1.6057","1.6102","1.6430","1.6031","","-0.24%"
"31/01/2025","1.6095","1.6105","1.6124","1.5966","","-0.03%"
"30/01/2025","1.6100","1.6053","1.6132","1.6013","","0.35%"
"29/01/2025","1.6044","1.5991","1.6104","1.5984","","0.36%"
"28/01/2025","1.5987","1.5892","1.6035","1.5887","","0.62%"
"27/01/2025","1.5888","1.5821","1.5938","1.5813","","0.32%"
"24/01/2025","1.5838","1.5909","1.5930","1.5793","","-0.44%"
"23/01/2025","1.5908","1.5940","1.5989","1.5871","","-0.19%"
"22/01/2025","1.5939","1.5937","1.5993","1.5882","","0.05%"
"21/01/2025","1.5931","1.5934","1.6107","1.5898","","-0.03%"
"20/01/2025","1.5936","1.6130","1.6158","1.5905","","-1.28%"
"17/01/2025","1.6142","1.6096","1.6222","1.6055","","0.30%"
"16/01/2025","1.6093","1.6061","1.6151","1.6013","","0.22%"
"15/01/2025","1.6057","1.6144","1.6180","1.6006","","-0.50%"
"14/01/2025","1.6137","1.6188","1.6219","1.6107","","-0.29%"
"13/01/2025","1.6184","1.6261","1.6312","1.6184","","-0.46%"
"10/01/2025","1.6258","1.6132","1.6290","1.6111","","0.77%"
"09/01/2025","1.6134","1.6090","1.6204","1.6083","","0.29%"
"08/01/2025","1.6088","1.6050","1.6164","1.6017","","0.24%"
"07/01/2025","1.6049","1.6008","1.6058","1.5900","","0.29%"
"06/01/2025","1.6003","1.6090","1.6116","1.5864","","-0.53%"
"03/01/2025","1.6088","1.6115","1.6136","1.6059","","-0.19%"
"02/01/2025","1.6119","1.6163","1.6174","1.6068","","-0.19%"
"01/01/2025","1.6150","1.6162","1.6174","1.6146","","-0.05%"
"31/12/2024","1.6158","1.6076","1.6185","1.6045","","0.57%"
"30/12/2024","1.6067","1.6105","1.6125","1.6005","","-0.05%"
"27/12/2024","1.6075","1.6076","1.6130","1.6054","","0.00%"
"26/12/2024","1.6075","1.6038","1.6089","1.5986","","0.36%"
